"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,hipaa_authorization_and_informed_consent_form_for,,text,"Record ID",,,,,,,,,,,,,
title,hipaa_authorization_and_informed_consent_form_for,,descriptive,"<u>Project Title:</u> Weill Cornell Digestive Disease Registry",,,,,,,,,,,,,
project_number,hipaa_authorization_and_informed_consent_form_for,,descriptive,"<u>Research Project #:</u> 0908010582",,,,,,,,,,,,,
pi,hipaa_authorization_and_informed_consent_form_for,,descriptive,"<u>Principal Investigator:</u> Manish A. Shah, MD",,,,,,,,,,,,,
irb,hipaa_authorization_and_informed_consent_form_for,,descriptive,,,,,,,,,,,,,,
mrn_v2,hipaa_authorization_and_informed_consent_form_for,,text,"Medical Record Number",,,,,,,,y,,,,,
subject_v2,hipaa_authorization_and_informed_consent_form_for,,text,Subject,,"First-name Last-name",,,,,,y,,,,,
introduction_v2,hipaa_authorization_and_informed_consent_form_for,"Institution: Weill Cornell Medical College",descriptive,"You are invited to consider participating in a clinical database and tissue bank. You were selected as a possible participant because you have been referred to a provider at Weill Cornell Medical College - New York Presbyterian Hospital. It is important that you read and understand several general principles that apply to all who take part in this project. Taking part in the study is entirely voluntary. You may decide not to participate or you may decide to stop participating in the study at any time without loss of any benefits to which you are entitled. The purpose and nature of the clinical database and tissue bank, possible risks, your rights as a participant, and other information about the study are discussed below. You are urged to ask any questions you have with members of the research team. You should take whatever time you need to discuss the research with your provider and family. The decision to participate or not to participate is yours. If you decide to participate, please sign and date where indicated at the end of this form.

Portions of the clinical database and tissue bank will take place at facilities of New York Presbyterian Hospital (NYPH), where investigators are members of the medical staff. New York Presbyterian Hospital is neither a sponsor nor an investigator for this study.
",,,,,,,,,,,,,
why_is_this_research_being_v2,hipaa_authorization_and_informed_consent_form_for,"Why is the study being done?",descriptive,"This purpose of this project is to collect and store patient information (including protected health information), family histories, and tissue samples and to make these available for future research about digestive disease-related disorders (i.e. inflammatory bowel disease or cancers of the GI tract). Investigators at Weill Cornell Medical College (WCMC) and collaborators at other institutions are collecting information about patients and family members with digestive disease-related disorders, as well as studying their tissue in the laboratory. By studying the clinical course of patients with digestive disease disorders and their family and performing additional laboratory studies, we hope to learn more about these disorders.",,,,,,,,,,,,,
how_many_people_v2,hipaa_authorization_and_informed_consent_form_for,"How many people will take part in the study?",descriptive,"We hope to enroll all participants with digestive diseases and their close relatives in this study at WCMC and New York Presbyterian Hospital WCMC-NYPH.",,,,,,,,,,,,,
