"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,consent_form_for_clinical_investigation,,text,"Record ID",,,,,,,,,,,,,
title,consent_form_for_clinical_investigation,,descriptive,"<u>Project Title:</u>    Clinical Database and Tissue Collection Project for the Study of Hematologic and Oncologic Disorders<",,,,,,,,,,,,,
project,consent_form_for_clinical_investigation,,descriptive,"<u>Research Project #:</u>    1302013582",,,,,,,,,,,,,
pi,consent_form_for_clinical_investigation,,descriptive,"<u>Principal Investigator:</u>    David Nanus, M.D.",,,,,,,,,,,,,
stamp_b30de4,consent_form_for_clinical_investigation,,descriptive,,,,,,,,,,,,,,
mrn_v2_a58436,consent_form_for_clinical_investigation,,text,"Medical Record Number",,,number,,,,,y,,,,,
subject_v2_f0a9b4,consent_form_for_clinical_investigation,,text,Subject,,"First name Last name",,,,,,y,,,,,
clinic_sites,consent_form_for_clinical_investigation,,radio,"Clinic Site","1, Lymphoma | 2, Leukemia | 3, MPN",,,,,,,y,,,,,
introduction_v2_321aaa,consent_form_for_clinical_investigation,"Institution: Weill Cornell Medical College",descriptive,"You are invited to consider participating in a clinical database and tissue bank. You were selected as a possible participant because you are being seen by a physician at Weill Cornell Medical College - New York Presbyterian Hospital. It is important that you read and understand general principles that apply to all who take part in this project. Taking part is entirely voluntary. You may decide not to participate or you may decide to stop participating in the study at any time without loss of any benefits to which you are entitled. The purpose and nature of the clinical database and tissue bank, possible risks, your rights as a participant, and other information are discussed below. You are urged to ask any questions you have with members of the research team. You should take whatever time you need to discuss the research with your physician and family. The decision to participate or not to participate is yours. If you decide to participate, please sign and date where indicated at the end of this form.

Portions of the clinical database and tissue bank will take place at facilities of New York-Presbyterian Hospital (NYPH), where the investigators are members of the medical staff. New York Presbyterian Hospital is neither a sponsor nor an investigator for this study.",,,,,,,,,,,,,
why_is_this_research_being_v2_f25ab0,consent_form_for_clinical_investigation,"Why is the research being done?",descriptive,"The purpose of this project is to collect and store patient information (including protected health information) and tissue samples and to make these available for future research about hematology and oncology-related disorders. Investigators at Weill Cornell Medical College (WCMC) and collaborators at other institutions are collecting information about patients with hematology and oncology-related disorders, as well as studying their tissue in the laboratory. By studying the clinical course of patients with hematologic and oncologic disorders and by performing additional laboratory studies, we hope to learn more about these disorders.",,,,,,,,,,,,,
how_many_people_v2_3022be,consent_form_for_clinical_investigation,"How many people will take part in the study?",descriptive,"Participants in the study are referred to as subjects. We hope to enroll all subjects evaluated by a physician at
Weill Cornell Medical College - NewYork Presbyterian Hospital (WCMC-NYPH).",,,,,,,,,,,,,
what_is_involved_v2_825f96,consent_form_for_clinical_investigation,"What is involved in the research?",descriptive,"The purpose of this consent form is to ask your permission to collect your clinical information and tissue samples for research purposes. If you take part, we may record your clinical information in a database.

Most of this information will be derived from your doctor's records at WCMC-NYPH. However, if you are not seen at WCMC-NYPH, we may contact you or your doctor to update our information. It is very important that our records are as complete as possible. Therefore, if you plan to move, please update us with your new contact information. We may periodically ask you to complete questionnaires that ask about your disease and symptoms relating to your disease. If you take part in this study, we may store tissue samples from you that are taken at the times you are already having samples collected from a standard of care procedure. The tissue used will be leftover tissue not needed for diagnosis. Also, extra blood may be taken for research purposes at the time you are already having a clinical blood draw. You will not be required to have additional needle sticks (or blood draws) or biopsies performed as part of this study.

Many of the studies to be performed have been planned at this time, but others will be thought of later as new information comes to light. Examples of this use include, but are not limited to, evaluation of proteins and genes (DNA). Genetic material contains information about many different traits, like a personal diary. The traits being tested are heritable, which means that they may be passed on from generation to generation within families. Because genetic testing can have consequences for you as well as your family members, please read this consent form carefully before making a decision about whether or not to participate.",,,,,,,,,,,,,
how_long_will_i_v2_1512e2,consent_form_for_clinical_investigation,"How long will I be in the clinical database and tissue bank?",descriptive,"This research involves long-term follow-up. We think you will be in the study for as long as you are alive. You can stop participating at any time. However, if you decide to stop participating in the study, we encourage you to talk to the researcher and your regular doctor first. The clinical information and tissue you give WCMC under this study will be kept in a database/tissue bank or used by another party forever.

Unless you cancel it, permission for WCMC researchers to use or share your protected health information for their research will never end.",,,,,,,,,,,,,
authorization_to_use_v2_740abf,consent_form_for_clinical_investigation,"Authorization to use/disclose protected health information for research",descriptive,"Government rules require that researchers get your permission (authorization) to use or share your protected health information. Your medical information may be disclosed to authorized public health or government officials for public health activities when required or authorized by law. If you give permission, the researchers could use or share with the people identified in this authorization any protected health information related to this research from your medical records and from any test results including, but not limited to genetic testing, HIV testing, and hepatitis testing.

If you give permission, the researchers could also 
use your protected health information to develop new procedures or commercial products. They could share your protected health information with the research sponsor, the WCMC IRB, inspectors who check the research, government agencies and research staff. The information that may be shared could include your medical record number and your research record related to this database/tissue bank. They may not be considered covered entities under the Privacy Rule and your information would not be subject to protections under the Privacy Rule.",,,,,,,,,,,,,
what_are_the_risks_v2_cf7237,consent_form_for_clinical_investigation,"What are the risks of the clinical database and tissue bank?",descriptive,"<U>Risk of Loss of Confidentiality</U>  
Your clinical information (including protected health information) is being collected while you are participating. This information may be shared with other investigators. Since your personal health information will be used, there is the risk of loss of confidentiality. Every effort will be made to protect your privacy. The government does not require everyone who might see your information to keep it confidential, so it might not remain private.

Efforts will be made to protect your medical records and other personal information to the extent allowed by law. We use a coding system that protects the identity of individuals who provide samples. The coding system has been reviewed and approved by the Institutional Review Board (IRB). However, we cannot guarantee absolute confidentiality. If information goes to an outside entity then the privacy rule may not apply. You will not be identified personally in any reports or publications resulting from this research study. Your personal information may be disclosed if required by law. Organizations that may request to inspect and/or copy your research and medical records for quality assurance and data analysis include groups such as:
<UL>
<LI>Representatives of Weill Cornell Medical College and NewYork-Presbyterian Hospital
<LI>The Institutional Review Board (IRB)
<LI>The Office of Human Research Protection (OHRP)
</UL> By signing this consent form, you authorize access to this confidential information. You also authorize the release of your medical records to WCMC by any other hospitals or institutions where you might receive medical care of any kind while you are participating in this research study.",,,,,,,,,,,,,
are_there_any_benefits_v2_664cb1,consent_form_for_clinical_investigation,"Are there any benefits to taking part in the clinical database and tissue bank?",descriptive,"We cannot and do not guarantee that you will receive any benefits from this study. We hope to learn more about hematologic and oncologic disorders and how to treat them.",,,,,,,,,,,,,
disclosure_of_results_v2_d0057b,consent_form_for_clinical_investigation,"Disclosure of results",descriptive,"To the extent permitted by law, under no circumstances will any information linking you to specific test results be disclosed to any individual or organization without your written consent. A new Federal law, called the Genetic Information Nondiscrimination Act (GINA), generally makes it illegal for health insurance companies, health plans, and most employers to discriminate against you based on your genetic information. This law generally will protect you in the following ways:
<UL>
<LI>Health insurance companies and group health plans may not request your genetic information that we get from this research.
<LI>Health insurance companies and group health plans may not use your genetic information when making decisions regarding your eligibility or premiums.
<LI>Employers with 15 or more employees may not use your genetic information that we get from this research when making a decision to hire, promote, or fire you or when setting the terms of your employment.
</UL>Be aware that this new Federal law does not protect you against genetic discrimination by companies that sell life insurance, disability insurance, or long-term care insurance. Nor does this Federal law prohibit discrimination on the basis of an already manifest genetic disease or disorder.",,,,,,,,,,,,,
test_results_v2_5e58e9,consent_form_for_clinical_investigation,"Test results and future contact",descriptive,"There may be circumstances when WCMC would like to contact you regarding your samples. For example, it is possible that genetic tests will show a link between your genetic information and a disease or condition. Knowing this information may help you make choices about you or your family's health care. However, some individuals prefer not to know about their genetic information. At the end of this document, you will have the opportunity to tell us whether or not you want to be contacted in the future.  Your decision about future contact will not affect your ability to participate in this research.

<U>Risks and Benefits of Future Contact:</U> CMC wants you to know that there may be both risks and benefits to consenting to future contact.

The potential risks include: You may be upset to  learn that you have a greater chance of having a disease or condition. Even if genetic tests show that you do not have a greater risk of disease, you may still be upset if you know that others in your family have that higher risk of disease.

The potential benefits include: You may benefit from the knowledge that you or your family have a predisposition to a certain disease or condition. This knowledge may help you make informed decisions concerning your lifestyle and health care.

The costs associated with any testing or treatment that is required from these test results will be the responsibility of you and your insurance provider.",,,,,,,,,,,,,
future_testing_v2_da0fb7,consent_form_for_clinical_investigation,"Future testing",descriptive,"The samples that you give to WCMC could one day lead to discoveries using methods and tests not yet developed. To that end, WCMC would like to keep the samples for as long as they are deemed useful for research purposes. This research could potentially be used for purposes not specified above.

You have the right to withdraw your consent at any time, and may request that the samples you give to WCMC be destroyed. If you choose to do so, contact your study doctor. Although you are free to withdraw your consent, it is possible the samples may have already been used for research purposes and data derived from such research will not be destroyed. In that event, WCMC will promptly destroy any remaining samples. Additionally, if WCMC has shared the samples with third parties, WCMC will not be able to destroy the samples. Also, cancelling your permission will not apply to clinical information (including protected health information) that has already been used or shared.",,,,,,,,,,,,,
commercial_interest_v2_d83fdf,consent_form_for_clinical_investigation,"Commercial interest",descriptive,"Materials or data obtained from you in this research may be used for commercial purposes. It is the policy of WCMC not to provide financial compensation to you should this occur.",,,,,,,,,,,,,
what_are_the_costs_v2_9429ad,consent_form_for_clinical_investigation,"What are the costs?",descriptive,"You or your insurance company will not incur any additional costs by participating in this clinical database and tissue bank.",,,,,,,,,,,,,
compensation_for_part_v2_49a75c,consent_form_for_clinical_investigation,"Compensation for participation",descriptive,"You will not receive compensation for participating in this study. You should not expect anyone to pay you for pain, worry, lost income, or non-medical care costs that occur from taking part in this research study.",,,,,,,,,,,,,
what_are_my_rights_v2_07bdab,consent_form_for_clinical_investigation,"What are my rights as a participant?",descriptive,"Taking part in this clinical database and tissue bank is voluntary. You may choose to not take part in the research or to stop participating at any time. If you choose to not participate or to stop participating, your regular care will not be affected nor will your relations with WCMC, your physicians, or other medical personnel. In addition, you will not lose any of the benefits to which you are entitled. We will tell you about new information that may affect your health, welfare, or participation in this study.",,,,,,,,,,,,,
questions_problems_v2_eda394,consent_form_for_clinical_investigation,"Whom do I call if I have questions or problems?",descriptive,"For questions about the research study, or if you think that something unusual or unexpected is happening, call your WCMC hematologist or oncologist. If you are calling after hours, please ask to speak with your treating physician. Be sure to inform the answering service of your participation in this research study.

If you have questions about your rights as a research participant, contact WCMC IRB Office. Direct your questions to: Institutional Review Board at:

Address: 1300 York Avenue, Box 89 
New York, New York 10065

Telephone:(646) 962-8200",,,,,,,,,,,,,
ready_for_questions_statement_v2_a4bebd,consent_form_for_clinical_investigation,,checkbox,"By clicking this check box, you are stating that you have read the information above. If ready to proceed, please click the submit button and a member of the research staff will come speak to you and answer any questions you may have.","1, I have read the informed consent",,,,,,,y,,,,,
footer_v2_ee9c58,consent_form_for_clinical_investigation,,descriptive,"
<p style=""text-align:left;"">
Weill Cornell Medical College
Clinical Database and Tissue Bank
Informed Consent Form version date 07.24.17
<span style=""float:right;"">IRB # 1302013582</span>
</p>
",,,,,,,,,,,,,
title_v2,consent_form_signature_6e6f70,,descriptive,"<u>Project Title:</u>    Clinical Database and Tissue Collection Project for the Study of Hematologic and Oncologic Disorders<",,,,,,,,,,,,,
project_v2,consent_form_signature_6e6f70,,descriptive,"<u>Research Project #:</u>    1302013582",,,,,,,,,,,,,
pi_v2,consent_form_signature_6e6f70,,descriptive,"<u>Principal Investigator:</u>    David Nanus, M.D.",,,,,,,,,,,,,
stamp_v2,consent_form_signature_6e6f70,,descriptive,,,,,,,,,,,,,,
mrn_v2,consent_form_signature_6e6f70,,descriptive,"Medical Record Number: [mrn_v2_a58436]",,,,,,,,,,,,,
subject_v2,consent_form_signature_6e6f70,,descriptive,"Subject: [subject_v2_f0a9b4]",,,,,,,,,,,,,
intro_v2,consent_form_signature_6e6f70,"Institution: Weill Cornell Medical College",descriptive,"You are invited to consider participating in a clinical database and tissue bank. You were selected as a possible participant because you are being seen by a physician at Weill Cornell Medical College - New York Presbyterian Hospital. It is important that you read and understand general principles that apply to all who take part in this project. Taking part is entirely voluntary. You may decide not to participate or you may decide to stop participating in the study at any time without loss of any benefits to which you are entitled. The purpose and nature of the clinical database and tissue bank, possible risks, your rights as a participant, and other information are discussed below. You are urged to ask any questions you have with members of the research team. You should take whatever time you need to discuss the research with your physician and family. The decision to participate or not to participate is yours. If you decide to participate, please sign and date where indicated at the end of this form.

Portions of the clinical database and tissue bank will take place at facilities of New York-Presbyterian Hospital (NYPH), where the investigators are members of the medical staff. New York Presbyterian Hospital is neither a sponsor nor an investigator for this study.",,,,,,,,,,,,,
why_is_this_v2,consent_form_signature_6e6f70,"Why is the research being done?",descriptive,"The purpose of this project is to collect and store patient information (including protected health information) and tissue samples and to make these available for future research about hematology and oncology-related disorders. Investigators at Weill Cornell Medical College (WCMC) and collaborators at other institutions are collecting information about patients with hematology and oncology-related disorders, as well as studying their tissue in the laboratory. By studying the clinical course of patients with hematologic and oncologic disorders and by performing additional laboratory studies, we hope to learn more about these disorders.",,,,,,,,,,,,,
how_many_people_v2,consent_form_signature_6e6f70,"How many people will take part in the study?",descriptive,"Participants in the study are referred to as subjects. We hope to enroll all subjects evaluated by a physician at
Weill Cornell Medical College - NewYork Presbyterian Hospital (WCMC-NYPH).",,,,,,,,,,,,,
